date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:57:22	100494/100494	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Jan%202020%2014:13:36%20GMT	https://theme-land.com/sApp/demo/assets/img/discover/thumb-2.png	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/assets/img/discover/thumb-2.png	(from https://theme-land.com/sApp/demo/index-2.html)
11:57:23	11521/11521	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Jan%202020%2013:54:02%20GMT	https://theme-land.com/sApp/demo/assets/img/icon/work/download.png	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/assets/img/icon/work/download.png	(from https://theme-land.com/sApp/demo/index-2.html)
11:57:24	11341/11341	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Jan%202020%2014:03:02%20GMT	https://theme-land.com/sApp/demo/assets/img/icon/work/settings.png	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/assets/img/icon/work/settings.png	(from https://theme-land.com/sApp/demo/index-2.html)
11:57:25	16182/16182	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Jan%202020%2014:06:22%20GMT	https://theme-land.com/sApp/demo/assets/img/icon/work/app.png	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/assets/img/icon/work/app.png	(from https://theme-land.com/sApp/demo/index-2.html)
11:57:27	256192/256192	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Jan%202020%2010:28:02%20GMT	https://theme-land.com/sApp/demo/assets/img/screenshots/1.jpg	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/assets/img/screenshots/1.jpg	(from https://theme-land.com/sApp/demo/index-2.html)
11:57:28	118349/118349	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Jan%202020%2010:49:34%20GMT	https://theme-land.com/sApp/demo/assets/img/screenshots/2.jpg	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/assets/img/screenshots/2.jpg	(from https://theme-land.com/sApp/demo/index-2.html)
11:57:30	522345/522345	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Jan%202020%2010:31:00%20GMT	https://theme-land.com/sApp/demo/assets/img/screenshots/3.jpg	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/assets/img/screenshots/3.jpg	(from https://theme-land.com/sApp/demo/index-2.html)
11:57:30	290051/290051	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Jan%202020%2010:48:00%20GMT	https://theme-land.com/sApp/demo/assets/img/screenshots/4.jpg	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/assets/img/screenshots/4.jpg	(from https://theme-land.com/sApp/demo/index-2.html)
11:57:33	589284/589284	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Dec%202019%2011:49:06%20GMT	https://theme-land.com/sApp/demo/assets/img/avatar/avatar-1.png	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/assets/img/avatar/avatar-1.png	(from https://theme-land.com/sApp/demo/index-2.html)
11:57:33	581606/581606	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Jan%202020%2010:42:52%20GMT	https://theme-land.com/sApp/demo/assets/img/screenshots/5.jpg	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/assets/img/screenshots/5.jpg	(from https://theme-land.com/sApp/demo/index-2.html)
